UF;MUNICIPIO;NUMERO_REGISTRO_ESTABELECIMENTO;STATUS_REGISTRO;CPF_CNPJ;RAZAO_SOCIAL;AREA_ATUACAO;ATIVIDADE;CLASSIFICACAO;CARACTERISTICA_ADICIONAL
PR;Paranaguá;PR0013544;Ativo;**.***.706/***-**;CARGILL AGRICOLA S A;QUALIDADE VEGETAL;ARMAZEM PORTUARIO;;
PR;Paranaguá;PR0036536;Ativo;**.***.383/***-**;COAMO AGROINDUSTRIAL COOPERATIVA - PARANAGUÁ;QUALIDADE VEGETAL;ARMAZEM PORTUARIO;;
PR;Paranaguá;PR0025291;Ativo;**.***.525/***-**;LOUIS DREYFUS COMPANY BRASIL S.A.;QUALIDADE VEGETAL;EXPORTADOR;;
PR;Paranaguá;PR0025291;Ativo;**.***.525/***-**;LOUIS DREYFUS COMPANY BRASIL S.A.;QUALIDADE VEGETAL;ARMAZEM PORTUARIO;;
PR;Paranaguá;PR0013803;Ativo;**.***.723/***-**;BRF S.A;QUALIDADE VEGETAL;PROCESSADOR;;
PR;Paranaguá;PR0048755;Ativo;**.***.426/***-**;BTG PACTUAL COMMODITIES SERTRADING S.A.;QUALIDADE VEGETAL;EXPORTADOR;;
PR;Paranaguá;PR0028355;Ativo;**.***.705/***-**;CCIC DO BRASIL INSPECTIONS CERTIFICAÇÕES LTDA;QUALIDADE VEGETAL;CLASSIFICADOR (PESSOA JURÍDICA);PRODUTO VEGETAL PADRONIZADO;SUPERVISORA DE EMBARQUE
PR;Paranaguá;PR0026271;Ativo;**.***.101/***-**;BUNGE ALIMENTOS S/A ;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
PR;Paranaguá;PR0015873;Ativo;**.***.138/***-**;ARMAZENS GERAIS TERMINAL LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
PR;Paranaguá;PR0026468;Ativo;**.***.101/***-**;BUNGE ALIMENTOS S/A;QUALIDADE VEGETAL;ARMAZENADOR;;
PR;Paranaguá;PR0019968;Ativo;**.***.300/***-**;PASA - Paraná Operações Portuárias S/A;QUALIDADE VEGETAL;EXPORTADOR;;
PR;Paranaguá;PR0019968;Ativo;**.***.300/***-**;PASA - Paraná Operações Portuárias S/A;QUALIDADE VEGETAL;ARMAZEM PORTUARIO;;
PR;Paranaguá;PR0019968;Ativo;**.***.300/***-**;PASA - Paraná Operações Portuárias S/A;QUALIDADE VEGETAL;ARMAZENADOR;;
PR;Paranaguá;PR0015342;Ativo;**.***.338/***-**;COFCO INTERNATIONAL BRASIL S.A.;QUALIDADE VEGETAL;EXPORTADOR;;
PR;Paranaguá;PR0011940;Ativo;**.***.195/***-**;Alex Stewart Agriculture Supervisão e Análises Ltda.;QUALIDADE VEGETAL;CLASSIFICADOR (PESSOA JURÍDICA);PRODUTO VEGETAL PADRONIZADO;SUPERVISORA DE EMBARQUE
PR;Paranaguá;PR0034983;Ativo;**.***.273/***-**;UNISURVEY SERVIÇOS DE INSPEÇÕES NAVAIS LTDA ;QUALIDADE VEGETAL;CLASSIFICADOR (PESSOA JURÍDICA);PRODUTO VEGETAL PADRONIZADO;SUPERVISORA DE EMBARQUE
PR;Paranaguá;PI0002720;Ativo;**.***.968/***-**;CHS AGRONEGÓCIO - INDÚSTRIA E COMÉRCIO LTDA.;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
PR;Paranaguá;PR0003883;Ativo;**.***.983/***-**;COTECNA SERVIÇOS LTDA ;QUALIDADE VEGETAL;CLASSIFICADOR (PESSOA JURÍDICA);PRODUTO VEGETAL PADRONIZADO;SUPERVISORA DE EMBARQUE
PR;Paranaguá;PR0015601;Ativo;**.***.636/***-**;VITERRA BRASIL S.A.;QUALIDADE VEGETAL;EXPORTADOR;;
PR;Paranaguá;PR0016861;Cancelado;**.***.754/***-**;ENGELHART CTP (BRASIL) S.A.;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
PR;Paranaguá;PR0031372;Ativo;**.***.806/***-**;LOTUS GRAINS & OILSEEDS S.A.;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
SP;Paranapanema;SP0048801;Ativo;**.***.271/***-**;JOSE THEODORO SWART;QUALIDADE VEGETAL;BENEFICIADOR;;
SP;Paranapanema;SP0037010;Ativo;**.***.015/***-**;CEREALISTA BOA SAFRA PARANAPANEMA LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
MT;Paranatinga;MT0016322;Ativo;**.***.252/***-**;OLAM BRASIL LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
MT;Paranatinga;MT0006580;Ativo;**.***.512/***-**;COOPERATIVA MISTA AGROPECUÁRIA SANTIAGO DO NORTE;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
MT;Paranatinga;MT0005754;Ativo;**.***.422/***-**;AGRICOLA ALVORADA S.A;QUALIDADE VEGETAL;EXPORTADOR;;
MT;Paranatinga;MT0016772;Ativo;**.***.254/***-**;AMAGGI EXPORTACAO E IMPORTACAO LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
PR;Paranavaí;PR0019828;Ativo;**.***.595/***-**;industria agro comercial cassava s/a;QUALIDADE VEGETAL;EMBALADOR;;
SP;Parapuã;SP0032379;Ativo;**.***.646/***-**;COOPERATIVA AGROPECUÁRIA DE PARAPUÃ;QUALIDADE VEGETAL;PRODUTOR;;
SP;Parapuã;SP0032379;Ativo;**.***.646/***-**;COOPERATIVA AGROPECUÁRIA DE PARAPUÃ;QUALIDADE VEGETAL;PROCESSADOR;;
SP;Parapuã;SP0032379;Ativo;**.***.646/***-**;COOPERATIVA AGROPECUÁRIA DE PARAPUÃ;QUALIDADE VEGETAL;BENEFICIADOR;;
SP;Parapuã;SP0032379;Ativo;**.***.646/***-**;COOPERATIVA AGROPECUÁRIA DE PARAPUÃ;QUALIDADE VEGETAL;ARMAZENADOR;;
SP;Parapuã;SP0046710;Ativo;**.***.088/***-**;francfort comercio importação,exportação e representação ltda;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
SP;Parapuã;SP0106003;Ativo;**.***.746/***-**;MININ FOODS LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
SP;Parapuã;SP0106003;Ativo;**.***.746/***-**;MININ FOODS LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
SP;Parapuã;SP0082325;Ativo;**.***.741/***-**;ALTRÃO COMERCIO E INDUSTRIA DE CAFÉ LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
PA;Parauapebas;PA0008281;Ativo;**.***.229/***-**;EDVARD BAIA DIAS 13418548253;QUALIDADE VEGETAL;CONSOLIDADOR;;
GO;Paraúna;GO0009067;Ativo;**.***.618/***-**;COOPERATIVA AGROINDUSTRIAL DOS PRODUTORES RURAIS DO SUDOESTE GOIANO ;QUALIDADE VEGETAL;EXPORTADOR;;
GO;Paraúna;GO0014109;Ativo;**.***.618/***-**;COOPERATIVA AGROINDUSTRIAL DOS PRODUTORES RURAIS DO SUDOESTE GOIANO ;QUALIDADE VEGETAL;EXPORTADOR;;
GO;Paraúna;GO0019933;Ativo;**.***.101/***-**;BUNGE ALIMENTOS S/A;QUALIDADE VEGETAL;EXPORTADOR;;
GO;Paraúna;GO0019933;Ativo;**.***.101/***-**;BUNGE ALIMENTOS S/A;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
SP;Pardinho;SP0084832;Cancelado;**.***.395/***-**;DANIELLA ROMANO PELOSINI ;QUALIDADE VEGETAL;BENEFICIADOR;;
RN;Parnamirim;RN0006483;Ativo;**.***.901/***-**;cda-central de distribuição azevedo ltda;QUALIDADE VEGETAL;COMERCIANTE (DISTRIBUIDOR);;
PB;São João do Rio do Peixe;PB0011193;Ativo;**.***.623/***-**;COOPERATIVA DOS PRODUTORES DE ARROZ DO VALE DO RIO DO PEIXE;QUALIDADE VEGETAL;PROCESSADOR;;
SC;São João do Sul;SC0022306;Ativo;**.***.180/***-**;FECULARIA S.F LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
SC;São Joaquim;SC0003905;Ativo;**.***.541/***-**;sanjo cooperativa agricola de sao joaquim ;QUALIDADE VEGETAL;CONSOLIDADOR;;
SC;São Joaquim;SC0006807;Ativo;**.***.783/***-**;AGROPECUARIA SCHIO LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
SC;São Joaquim;SC0007811;Ativo;**.***.601/***-**;AGRO COMERCIAL HIRAGAMI LTDA;QUALIDADE VEGETAL;CONSOLIDADOR;;
PR;São Jorge do Patrocínio;PR0042358;Ativo;**.***.278/***-**;TORREFACAO E MOAGEM DE CAFE PAIOL LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
PR;São Jorge do Patrocínio;PR0037885;Ativo;**.***.138/***-**;Duas Marias Ltda.;QUALIDADE VEGETAL;EMBALADOR;;
MG;Monte Carmelo;MG0034088;Ativo;**.***.285/***-**;IRMÃOS MONTEIRO INDÚSTRIA E COMÉRCIO DE CAFÉ LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
MG;Monte Carmelo;MG0046787;Ativo;**.***.639/***-**;NOSSO SABOR ALIMENTOS LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
MG;Monte Carmelo;MG0040460;Ativo;**.***.991/***-**;DANIEL PAULO PASIANI LTDA;QUALIDADE VEGETAL;EMBALADOR;;
MG;Monte Carmelo;MG0051349;Ativo;**.***.639/***-**;NOSSO SABOR ALIMENTOS LTDA. - FILIAL;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
MG;Monte Carmelo;MG0051551;Ativo;**.***.487/***-**;BAPTISTA ARMAZÉNS GERAIS LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
MG;Montes Claros;MG0038571;Ativo;**.***.075/***-**;NESTLE BRASIL LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
GO;Montes Claros de Goiás;GO0013650;Ativo;**.***.618/***-**;COOPERATIVA AGROINDUSTRIAL DOS PRODUTORES RURAIS DO SUDOESTE GOIANO;QUALIDADE VEGETAL;EXPORTADOR;;
GO;Montividiu;GO0009733;Ativo;**.***.671/***-**;CARAMURU ALIMENTOS S/A;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
GO;Montividiu;GO0022462;Ativo;**.***.525/***-**;LOUIS DREYFUS COMPANY BRASIL S.A.;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
CE;Morada Nova;CE0010642;Ativo;**.***.103/***-**;ITAUEIRA AGROPECUÁRIA S/A;QUALIDADE VEGETAL;EXPORTADOR;;
GO;Morrinhos;GO0009717;Ativo;**.***.671/***-**;CARAMURU ALIMENTOS S/A;QUALIDADE VEGETAL;ARMAZENADOR;;
SC;Morro da Fumaça;SC0005452;Ativo;**.***.201/***-**;FUMACENSE ALIMENTOS LTDA;QUALIDADE VEGETAL;CLASSIFICADOR (PESSOA JURÍDICA);PRODUTO VEGETAL PADRONIZADO;PRESTADORA DE SERVIÇO
SC;Morro da Fumaça;SC0029564;Ativo;**.***.779/***-**;MATIOLA ALIMENTOS LTDA;QUALIDADE VEGETAL;EMBALADOR;;
BA;Morro do Chapéu;BA0017078;Ativo;**.***.741/***-**;JALL EXTRAÇÃOE COMERCIALIZAÇÃO DE ÓLEOS ESSENCIAISLTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
RN;Mossoró;RN0008176;Ativo;**.***.782/***-**;USIBRAS USINA BRASILEIRA DE OLEOS E CASTANHA LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
RN;Mossoró;RN0005177;Ativo;**.***.245/***-**;ALCILENE CARLOS MAIA GONZAGA;QUALIDADE VEGETAL;PROCESSADOR;;
ES;Muqui;ES0016730;Ativo;**.***.209/***-**;COOPERATIVA DOS CAFEICULTORES DO SUL DO ESTADO DO ES;QUALIDADE VEGETAL;PROCESSADOR;;
MG;Muzambinho;MG0048852;Ativo;**.***.262/***-**;CAFE RITUALE LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
MG;Muzambinho;MG0050571;Ativo;**.***.528/***-**;ROGERIO MACIEL CARVALHO BENASSI;QUALIDADE VEGETAL;EMBALADOR;;
RN;Natal;RN0003964;Ativo;**.***.437/***-**;CENTRAL DE DISTRIBUICAO REDE MAIS LTDA ;QUALIDADE VEGETAL;IMPORTADOR;;
MG;Natércia;MG0046051;Ativo;**.***.250/***-**;FRUTO MINEIRO CAFES ESPECIAIS LTDA.;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
MG;Nepomuceno;MG0030198;Ativo;**.***.844/***-**;PONTO 100 ATACADISTA LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
GO;Nerópolis;GO0017647;Ativo;**.***.732/***-**;FAZENDA DA MATA CULTIVO E COMERCIALIZAÇÃO DE ORGANICOS LTDA ;QUALIDADE VEGETAL;EMBALADOR;;
RN;Nísia Floresta;RN0007994;Ativo;**.***.118/***-**;RIC Indústria e Comércio Ltda;QUALIDADE VEGETAL;BENEFICIADOR;;
RJ;Niterói;RJ0013544;Ativo;**.***.436/***-**;Urubatan Piatã Produtos da Floresta Ltda.;QUALIDADE VEGETAL;EXPORTADOR;;
RJ;Niterói;RJ0007706;Ativo;**.***.761/***-**;diamond exp.e imp. de prod. alimenticios ltda.;QUALIDADE VEGETAL;IMPORTADOR;;
RJ;Niterói;ES0010430;Ativo;**.***.103/***-**;GIVOTRADING COMERCIO, IMPORTACAO E EXPORTACAO LTDA;QUALIDADE VEGETAL;IMPORTADOR;;
RS;Nonoai;RS0009970;Ativo;**.***.665/***-**;comercio de cereais jrb ltda;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
RN;Nova Cruz;RN0004928;Ativo;**.***.514/***-**;JOSIVAL BARBOSA DA SILVA;QUALIDADE VEGETAL;BENEFICIADOR;;
RN;Nova Cruz;RN0004979;Ativo;**.***.106/***-**;V I ALEXANDRE CAVALCANTE SILVA;QUALIDADE VEGETAL;EMBALADOR;;
RJ;Nova Friburgo;RJ0012998;Ativo;**.***.113/***-**;FRIGODÁRIO COMERCIAL E LOGÍSTICA LTDA;QUALIDADE VEGETAL;IMPORTADOR;;
RJ;Nova Iguaçu;RJ0012912;Ativo;**.***.184/***-**;industrias granfino s/a;QUALIDADE VEGETAL;PRODUTOR;;
MG;Nova Lima;MG0045551;Ativo;**.***.546/***-**;INDÚSTRIA E COMÉRCIO DE CAFÉ DUPAN LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
MT;Nova Marilândia;MT0018295;Ativo;**.***.985/***-**;CAFE GAKLIK INDUSTRIA E COMERCIO LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
MT;Nova Maringá;MT0009423;Ativo;**.***.338/***-**;COFCO INTERNATIONAL BRASIL S.A.;QUALIDADE VEGETAL;EXPORTADOR;;
MT;Nova Nazaré;MT0022071;Ativo;**.***.303/***-**;NG TRADE LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
MT;Nova Santa Helena;MT0003344;Ativo;**.***.525/***-**;LOUIS DREYFUS COMPANY BRASIL S.A.;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
MT;Nova Ubiratã;MT0005410;Ativo;**.***.338/***-**;COFCO INTERNATIONAL BRASIL S.A ;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
MT;Nova Ubiratã;MT0004022;Ativo;**.***.338/***-**;COFCO INTERNATIONAL BRASIL S.A ;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
ES;Nova Venécia;ES0014800;Ativo;**.***.137/***-**;BOLDRINI AGROINDUSTRIAL COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO EIRELII;QUALIDADE VEGETAL;BENEFICIADOR;;
ES;Nova Venécia;ES0010685;Ativo;**.***.939/***-**;GRAN REINO COMERCIAL LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
SP;São José do Rio Pardo;SP0025984;Ativo;**.***.566/***-**;COOPERATIVA REGIONAL DE CAFEICULTORES EM GUAXUPE LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
SP;São José do Rio Pardo;SP0025984;Ativo;**.***.566/***-**;COOPERATIVA REGIONAL DE CAFEICULTORES EM GUAXUPE LTDA;QUALIDADE VEGETAL;ARMAZENADOR;;
SP;São José do Rio Pardo;SP0101117;Ativo;**.***.637/***-**;NATALIA SOLEDAD BABORA GOLIK NAKASHIMA;QUALIDADE VEGETAL;PROCESSADOR;;
SP;São José do Rio Preto;SP0065820;Ativo;**.***.009/***-**;CIMO ALIMENTOS COMERCIO & EXPORTACAO LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
SP;São José do Rio Preto;SP0065820;Ativo;**.***.009/***-**;CIMO ALIMENTOS COMERCIO & EXPORTACAO LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
SP;São José do Rio Preto;SP0034797;Ativo;**.***.619/***-**;TEREOS AÇUCAR E ENERGIA BRASIL S.A.;QUALIDADE VEGETAL;EXPORTADOR;;
SP;São José do Rio Preto;SP0034797;Ativo;**.***.619/***-**;TEREOS AÇUCAR E ENERGIA BRASIL S.A.;QUALIDADE VEGETAL;EMBALADOR;;
SP;São José do Rio Preto;SP0034835;Ativo;**.***.619/***-**;TEREOS AÇUCAR E ENERGIA BRASIL S.A.;QUALIDADE VEGETAL;EXPORTADOR;;
MT;São José do Xingu;MT0004294;Ativo;**.***.254/***-**;AMAGGI EXPORTACAO E IMPORTACAO LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
PR;São José dos Pinhais;PR0022004;Ativo;**.***.274/***-**;GRANELES BRASIL COMERCIAL IMPORTADORA EXPORTADORA AGRICOLA S.A.;QUALIDADE VEGETAL;EXPORTADOR;;
MG;São Lourenço;MG0036242;Ativo;**.***.210/***-**;UNIQUE CAFES ESPECIAIS S/A;QUALIDADE VEGETAL;EMBALADOR;;
MA;São Luís;MA0005096;Suspenso;**.***.834/***-**;Fides Control Serviços de Inspeções Ltda;QUALIDADE VEGETAL;CLASSIFICADOR (PESSOA JURÍDICA);PRODUTO VEGETAL PADRONIZADO;PRESTADORA DE SERVIÇO
MA;São Luís;MA0009296;Cancelado;**.***.735/***-**;Transglobal Operações Portuárias Ltda;QUALIDADE VEGETAL;BENEFICIADOR;;
MA;São Luís;MA0009296;Cancelado;**.***.735/***-**;Transglobal Operações Portuárias Ltda;QUALIDADE VEGETAL;CONSOLIDADOR;;
MA;São Luís;MA0003409;Suspenso;**.***.809/***-**;SGS do Brasil Ltda;QUALIDADE VEGETAL;CLASSIFICADOR (PESSOA JURÍDICA);PRODUTO VEGETAL PADRONIZADO;PRESTADORA DE SERVIÇO
MA;São Luís;MA0008184;Ativo;**.***.350/***-**;Control Quality Inspeções, Análises e Serviços Ltda;QUALIDADE VEGETAL;CLASSIFICADOR (PESSOA JURÍDICA);PRODUTO VEGETAL PADRONIZADO;SUPERVISORA DE EMBARQUE
MA;São Luís;MA0009946;Ativo;**.***.697/***-**;Intertek do Brasil Inspeções Ltda.;QUALIDADE VEGETAL;CLASSIFICADOR (PESSOA JURÍDICA);PRODUTO VEGETAL PADRONIZADO;SUPERVISORA DE EMBARQUE
MA;São Luís;MA0006564;Ativo;**.***.859/***-**;Ricco Alimentos Hortifrutigranjeiros Ltda;QUALIDADE VEGETAL;EMBALADOR;;
MA;São Luís;MA0005282;Ativo;**.***.636/***-**;Viterra Brasil S.A.;QUALIDADE VEGETAL;EXPORTADOR;;
MA;São Luís;MA0007005;Ativo;**.***.646/***-**;CDA Alimentos S.A.;QUALIDADE VEGETAL;PROCESSADOR;;
MA;São Luís;MA0005614;Ativo;**.***.706/***-**;Cargill Agricola S A;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
MA;São Luís;MA0006807;Ativo;**.***.827/***-**;Amaggi Louis Dreyfus Zen-Noh Terminais Portuários S.A. ;QUALIDADE VEGETAL;ARMAZENADOR;;
MA;São Luís;MA0004804;Ativo;**.***.382/***-**;Control Union Ltda;QUALIDADE VEGETAL;CLASSIFICADOR (PESSOA JURÍDICA);PRODUTO VEGETAL PADRONIZADO;PRESTADORA DE SERVIÇO
MA;São Luís;MA0006165;Ativo;**.***.155/***-**;Moinhos Cruzeiro do Sul S A;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
SP;São Manuel;SP0091740;Ativo;**.***.048/***-**;FSM - FAZENDA SANTA MARGARIDA LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
SP;São Manuel;SP0091740;Ativo;**.***.048/***-**;FSM - FAZENDA SANTA MARGARIDA LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
ES;São Mateus;ES0014702;Ativo;**.***.315/***-**;Agrorosa Importação e Exportação Ltda;QUALIDADE VEGETAL;PRODUTOR;;
ES;São Mateus;ES0014702;Ativo;**.***.315/***-**;Agrorosa Importação e Exportação Ltda;QUALIDADE VEGETAL;EXPORTADOR;;
ES;São Mateus;ES0011479;Ativo;**.***.585/***-**;agrospice comércio e exportação ltda;QUALIDADE VEGETAL;EMBALADOR;;
ES;São Mateus;ES0014460;Ativo;**.***.864/***-**;C & G COMERCIO DE CAFE E PIMENTA, IMPORTAÇÃO E EXPORTAÇÃO LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
ES;São Mateus;ES0009237;Ativo;**.***.649/***-**;golden spices agricolas ltda;QUALIDADE VEGETAL;BENEFICIADOR;;
SP;São Miguel Arcanjo;SP0088293;Ativo;**.***.228/***-**;OURO SAFRA S/A;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
BA;São Miguel das Matas;BA0004464;Ativo;**.***.342/***-**;Codiel Comercial de Produtos Agrícolas Ltda;QUALIDADE VEGETAL;PROCESSADOR;;
PR;São Miguel do Iguaçu;PR0041700;Ativo;**.***.293/***-**;LAR COOPERATIVA AGROINDUSTRIAL  ;QUALIDADE VEGETAL;EXPORTADOR;;
PR;São Miguel do Iguaçu;PR0041742;Cancelado;**.***.293/***-**;COOPERATIVA AGROINDUSTRIAL LAR;QUALIDADE VEGETAL;ARMAZENADOR;;
PR;São Miguel do Iguaçu;PR0041726;Ativo;**.***.293/***-**;COOPERATIVA AGROINDUSTRIAL LAR;QUALIDADE VEGETAL;EXPORTADOR;;
PR;São Miguel do Iguaçu;PR0021180;Ativo;**.***.749/***-**;DISAM DISTRIBUIDORA DE INSUMOS AGRICOLAS SUL AMERICA LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
PR;São Miguel do Iguaçu;PR0021180;Ativo;**.***.749/***-**;DISAM DISTRIBUIDORA DE INSUMOS AGRICOLAS SUL AMERICA LTDA;QUALIDADE VEGETAL;PRODUTOR;;
PI;São Miguel do Tapuio;PI0005142;Ativo;**.***.975/***-**;PIAUÍ ALIMENTOS;QUALIDADE VEGETAL;BENEFICIADOR;;
AL;São Miguel dos Campos;AL0001732;Ativo;**.***.034/***-**;USINA CAETE S A;QUALIDADE VEGETAL;PROCESSADOR;;
SP;Rio Claro;SP0056286;Cancelado;**.***.199/***-**;STARLLUPY COM EXP IMP E ASSESORIA EM COMERCIO EXTERIOR LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
SP;Rio Claro;SP0064254;Ativo;**.***.728/***-**;SAFRA CEREALISTA LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
SP;Rio Claro;SP0089834;Ativo;**.***.826/***-**;VIVERDE COMERCIAL - COMERCIO, INDUSTRIA E SERVIÇOS LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
MT;Novo Mundo;MT0016594;Ativo;**.***.506/***-**;VERDE AGRÍCOLA WM LTDA.;QUALIDADE VEGETAL;EXPORTADOR;;
PA;Óbidos;PA0006670;Ativo;**.***.350/***-**;CAIBA INDUSTRIA E COMERCIO LTDA;QUALIDADE VEGETAL;PRODUTOR;;
SP;Orindiúva;SP0092096;Ativo;**.***.326/***-**;MOEMA BIOENERGIA S.A;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
GO;Orizona;GO0009849;Ativo;**.***.671/***-**;CARAMURU ALIMENTOS S/A;QUALIDADE VEGETAL;ARMAZENADOR;;
SP;Osasco;SP0054208;Ativo;**.***.295/***-**;camil alimentos s.a;QUALIDADE VEGETAL;BENEFICIADOR;;
SP;Osvaldo Cruz;SP0043923;Ativo;**.***.923/***-**;GRANOL AGRICOLA LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
MG;Ouro Fino;MG0021890;Ativo;**.***.087/***-**;COMEXIM LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
MG;Ouro Fino;MG0032034;Ativo;**.***.997/***-**;V C SOUZA & CIA LTDA - EPP;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
MG;Ouro Fino;MG0033332;Ativo;**.***.883/***-**;TERRA CAFÉ COMÉRCIO , BENEFICIAMENTO E EXPORTAÇÃO DE CAFÉ LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
MG;Ouro Fino;MG0047414;Ativo;**.***.949/***-**;CAFÉ NOVO MUNDO;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
MG;Ouro Fino;MG0047570;Ativo;**.***.078/***-**;ELIZABETH CORDEIRO BALSANELI;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
SP;Santa Cruz do Rio Pardo;SP0035360;Ativo;**.***.338/***-**;brasilia alimentos ltda;QUALIDADE VEGETAL;EMBALADOR;;
SP;Santa Cruz do Rio Pardo;SP0035360;Ativo;**.***.338/***-**;brasilia alimentos ltda;QUALIDADE VEGETAL;BENEFICIADOR;;
SP;Santa Cruz do Rio Pardo;SP0049905;Ativo;**.***.736/***-**;guacira alimentos ltda;QUALIDADE VEGETAL;EMBALADOR;;
SP;Santa Cruz do Rio Pardo;SP0046230;Ativo;**.***.085/***-**;CEREALISTA NARDO LTDA.;QUALIDADE VEGETAL;EMBALADOR;;
SP;Santa Cruz do Rio Pardo;SP0030023;Ativo;**.***.478/***-**;CEREALISTA ROSALITO LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
PR;Santa Fé;PR0034673;Ativo;**.***.856/***-**;JOSÉ LUIZ ZORDAN PASSERI LTDA ;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
PI;Santa Filomena;PI0003751;Ativo;**.***.590/***-**;Sierentz Agro Brasil Ltda.;QUALIDADE VEGETAL;EXPORTADOR;;
PI;Santa Filomena;PI0004375;Ativo;**.***.962/***-**;SIERENTZ BRASIL LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
GO;Santa Helena de Goiás;GO0014079;Ativo;**.***.618/***-**;COOPERATIVA AGROINDUSTRIAL DOS PRODUTORES RURAIS DO SUDOESTE GOIANO;QUALIDADE VEGETAL;EXPORTADOR;;
GO;Santa Helena de Goiás;GO0014060;Ativo;**.***.618/***-**;COOPERATIVA AGROINDUSTRIAL DOS PRODUTORES RURAIS DO SUDOESTE GOIANO - COMIGO;QUALIDADE VEGETAL;EXPORTADOR;;
MG;Santa Juliana;MG0003913;Ativo;**.***.225/***-**;MARCA AGRO MERCANTIL LTDA;QUALIDADE VEGETAL;EMBALADOR;;
MG;Santa Luzia;MG0034177;Ativo;**.***.402/***-**;ADM do Brasil Ltda;QUALIDADE VEGETAL;EXPORTADOR;;
