UF;MUNICIPIO;NUMERO_REGISTRO_ESTABELECIMENTO;STATUS_REGISTRO;CPF_CNPJ;RAZAO_SOCIAL;AREA_ATUACAO;ATIVIDADE;CLASSIFICACAO;CARACTERISTICA_ADICIONAL
RO;Ji-Paraná;RO0005479;Ativo;**.***.215/***-**;CICAL IND. E COM. DE PRODUTOS ALIMENTICIOS LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
RO;Ji-Paraná;RO0005711;Ativo;**.***.319/***-**;TELMAR INDUSTRIA E COMERCIO LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
RO;Ji-Paraná;RO0008109;Ativo;**.***.541/***-**;CASTANHAS MAJOLLU LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
SC;Joaçaba;SC0019704;Ativo;**.***.402/***-**;ADM DO BRASIL LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
MG;Visconde do Rio Branco;MG0032433;Ativo;**.***.509/***-**;CAFE IRAN LTDA ;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
ES;Vitória;ES0009547;Ativo;**.***.402/***-**;ADM DO BRASIL LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
ES;Vitória;ES0019046;Ativo;**.***.921/***-**;monte branco comercial importadora e exportadora ltda;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
ES;Vitória;ES0015768;Ativo;**.***.551/***-**;Bra Sudamerika Ltda;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
ES;Vitória;ES0017574;Ativo;**.***.598/***-**;ita comercio exterior ltda;QUALIDADE VEGETAL;IMPORTADOR;;
ES;Vitória;ES0018899;Ativo;**.***.453/***-**;PARTS IMPORT COMÉRCIO DE IMPORTAÇÃO E EXPORTAÇÃO LTDA;QUALIDADE VEGETAL;IMPORTADOR;;
ES;Vitória;ES0014273;Ativo;**.***.971/***-**;TIMBRO TRADING S.A.;QUALIDADE VEGETAL;IMPORTADOR;;
ES;Vitória;ES0014451;Ativo;**.***.350/***-**;CONTROL QUALITY INSPECOES, ANALISES E SERVICOS LTDA;QUALIDADE VEGETAL;CLASSIFICADOR (PESSOA JURÍDICA);PRODUTO VEGETAL PADRONIZADO;SUPERVISORA DE EMBARQUE
ES;Vitória;ES0008745;Ativo;**.***.884/***-**;MAC HADO AX TRADING EIRELI;QUALIDADE VEGETAL;EXPORTADOR;;
ES;Vitória;ES0008672;Ativo;**.***.419/***-**;COFCO INTERNATIONAL COMERCIO E ARMAZENAGEM DE GRAOS LTDA.;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
ES;Vitória;ES0017132;Ativo;**.***.426/***-**;BTG Pactual Commodities Sertrading S.A.;QUALIDADE VEGETAL;EXPORTADOR;;
ES;Vitória;ES0006467;Ativo;**.***.649/***-**;masterimp comercio exterior ltda;QUALIDADE VEGETAL;IMPORTADOR;;
ES;Vitória;ES0008427;Ativo;**.***.680/***-**;UNICAFÉ COMPANHIA DE COMÉRCIO EXTERIOR;QUALIDADE VEGETAL;BENEFICIADOR;;
PE;Vitória de Santo Antão;PE0001287;Ativo;**.***.378/***-**;Companhia Alcoolquímica Nacional - Alcoolquímica;QUALIDADE VEGETAL;EXPORTADOR;OUTROS;OUTROS
PR;Quarto Centenário;PR0018384;Ativo;**.***.383/***-**;COAMO AGROINDUSTRIAL COOPERATIVA;QUALIDADE VEGETAL;BENEFICIADOR;;
RN;Arês;RN0004430;Ativo;**.***.247/***-**;USINA ESTIVAS LTDA;QUALIDADE VEGETAL;CLASSIFICADOR (PESSOA JURÍDICA);PRODUTO VEGETAL PADRONIZADO;CLASSIFICADORA POR FLUXO OPERACIONAL
PR;São Sebastião da Amoreira;PR0036099;Ativo;**.***.450/***-**;COCAMAR COOPERATIVA AGROINDUSTRIAL;QUALIDADE VEGETAL;ARMAZENADOR;;
SP;São Sebastião da Grama;SP0051152;Ativo;**.***.694/***-**;gram cerri comercio exportação e importação de café ltda. ;QUALIDADE VEGETAL;BENEFICIADOR;;
SP;São Sebastião da Grama;SP0076317;Ativo;**.***.843/***-**;J V MEIRELLES INDÚSTRIA E COMÉRCIO DE CAFÉ LTDA ;QUALIDADE VEGETAL;PROCESSADOR;;
SP;São Sebastião da Grama;SP0106194;Ativo;**.***.647/***-**;MAMEL TORREFACAO E MOAGEM DE CAFE LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
MG;São Sebastião do Paraíso;MG0045101;Ativo;**.***.206/***-**;COMÉRCIO E INDÚSTRIA DE CAFÉ PALMARES LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
MG;São Vicente de Minas;MG0035998;Ativo;**.***.753/***-**;TAGUI BRASIL CEREAIS LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
MT;Sapezal;MT0004324;Ativo;**.***.457/***-**;AGROPECUARIA MAGGI LTDA.;QUALIDADE VEGETAL;ARMAZENADOR;;
MT;Sapezal;MT0003670;Ativo;**.***.254/***-**;AMAGGI EXPORTAÇÃO E IMPORTAÇÃO ltda;QUALIDADE VEGETAL;EXPORTADOR;;
MT;Sapezal;MT0003670;Ativo;**.***.254/***-**;AMAGGI EXPORTAÇÃO E IMPORTAÇÃO ltda;QUALIDADE VEGETAL;PRODUTOR;;
MT;Sapezal;MT0015121;Ativo;**.***.767/***-**;SCHEFFER CIA LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
MT;Sapezal;MT0015342;Ativo;**.***.767/***-**;SCHEFFER & CIA LTDA - SAPEZAL/MT;QUALIDADE VEGETAL;BENEFICIADOR;;
MT;Sapezal;MT0015334;Ativo;**.***.767/***-**;SCHEFFER & CIA LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
MT;Sapezal;MT0013684;Ativo;**.***.632/***-**;SIPAL INDUSTRIA E COMERCIO LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
MT;Sapezal;MT0014435;Ativo;***.***.644-**;CLODOVEU FRANCIOSI;QUALIDADE VEGETAL;BENEFICIADOR;;
RJ;Saquarema;RJ0015067;Ativo;**.***.784/***-**;SQA Foods Indústria e Comércio de Alimentos Ltda;QUALIDADE VEGETAL;EMBALADOR;;
BA;Seabra;BA0022144;Ativo;**.***.909/***-**;FELIX DOMINGUES OLIVEIRA NETO & CIA LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
SP;Sebastianópolis do Sul;SP0033928;Ativo;**.***.338/***-**;COFCO INTERNATIONAL BRASIL S.A;QUALIDADE VEGETAL;EXPORTADOR;;
SP;Sebastianópolis do Sul;SP0033928;Ativo;**.***.338/***-**;COFCO INTERNATIONAL BRASIL S.A;QUALIDADE VEGETAL;PROCESSADOR;;
SP;Sebastianópolis do Sul;SP0033910;Ativo;**.***.338/***-**;COFCO INTERNATIONAL BRASIL S.A;QUALIDADE VEGETAL;PROCESSADOR;;
AC;Senador Guiomard;AC0001660;Ativo;**.***.893/***-**;MACANEIRO & MELO INDUSTRIA E COMERCIO DE BEBIDAS LTDA - ME;QUALIDADE VEGETAL;EMBALADOR;;
RS;Serafina Corrêa;RS0071080;Ativo;**.***.825/***-**;GRANO ALIMENTOS S/A;QUALIDADE VEGETAL;EMBALADOR;;
ES;Serra;ES0004332;Ativo;**.***.809/***-**;SGS do Brasil Ltda;QUALIDADE VEGETAL;CLASSIFICADOR (PESSOA JURÍDICA);PRODUTO VEGETAL PADRONIZADO;SUPERVISORA DE EMBARQUE
ES;Serra;ES0012556;Cancelado;**.***.913/***-**;COMERCIAL IMPORTADORA E EXPORTADORA CEPAL LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
MG;Serra do Salitre;MG0040126;Ativo;**.***.801/***-**;SAIMITHON G A SOUZA INDUSTRIA E COMERCIO DE ALIMENTOS ME;QUALIDADE VEGETAL;PROCESSADOR;;
SE;Simão Dias;SE0004820;Ativo;**.***.977/***-**;AGROCAATINGA LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
BA;Simões Filho;BA0009652;Ativo;**.***.562/***-**;JOSAPAR Joaquim Oliveira SA Participações;QUALIDADE VEGETAL;COMERCIANTE (DISTRIBUIDOR);;
BA;Simões Filho;BA0009652;Ativo;**.***.562/***-**;JOSAPAR Joaquim Oliveira SA Participações;QUALIDADE VEGETAL;IMPORTADOR;;
MT;Sinop;MT0006726;Ativo;**.***.078/***-**;GO HEALTH FOODS INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;QUALIDADE VEGETAL;PRODUTOR;;
MT;Sinop;MT0023558;Ativo;**.***.804/***-**;LIDERO COMMODITIES AGRICOLA LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
MT;Sinop;MT0014486;Ativo;**.***.210/***-**;VITERRA AGRICULTURE BRASIL S.A.;QUALIDADE VEGETAL;EXPORTADOR;;
MT;Sinop;MT0004081;Ativo;**.***.111/***-**;URBANO AGROINDUSTRIAL LTDA;QUALIDADE VEGETAL;EMBALADOR;;
MT;Sinop;MT0014125;Ativo;**.***.175/***-**;FARIA TORREFAÇÃO E MOAGEM CAFE LTDA;QUALIDADE VEGETAL;INDUSTRIALIZADOR;;
MT;Sinop;MT0022179;Ativo;**.***.249/***-**;CUTRALE TRADING BRASIL LTDA;QUALIDADE VEGETAL;EXPORTADOR;;
MT;Sinop;MT0000833;Ativo;**.***.632/***-**;SIPAL INDUSTRIA E COMERCIO LTDA;QUALIDADE VEGETAL;COMERCIAL EXPORTADORA OU TRADING;;
MT;Sinop;MT0010260;Ativo;**.***.252/***-**;NOVAAGRI INFRA-ESTRUTURA DE ARMAZENAGEM E ESCOAMENTO AGRICOLA S.A.;QUALIDADE VEGETAL;EXPORTADOR;;
MT;Sinop;MT0005576;Ativo;**.***.409/***-**;BORELLO ALIMENTOS LTDA;QUALIDADE VEGETAL;BENEFICIADOR;;
MT;Sinop;MT0007013;Ativo;**.***.101/***-**;BUNGE ALIMENTOS S/A;QUALIDADE VEGETAL;BENEFICIADOR;;
PR;Siqueira Campos;PR0036528;Ativo;**.***.217/***-**;LIECHOCKI & FAUSTINONI LTDA;QUALIDADE VEGETAL;PROCESSADOR;;
